"GEO_ID","NAME","B19083_001E","B19083_001M",
"Geography","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index",
"0500000US22017","Caddo Parish, Louisiana","0.5159","0.0328",
"0500000US22019","Calcasieu Parish, Louisiana","0.4761","0.0304",
"0500000US22033","East Baton Rouge Parish, Louisiana","0.5264","0.0161",
"0500000US22045","Iberia Parish, Louisiana","0.4770","0.0744",
"0500000US22051","Jefferson Parish, Louisiana","0.4774","0.0176",
"0500000US22055","Lafayette Parish, Louisiana","0.4849","0.0211",
"0500000US22057","Lafourche Parish, Louisiana","0.4601","0.0322",
"0500000US22063","Livingston Parish, Louisiana","0.4110","0.0292",
"0500000US22071","Orleans Parish, Louisiana","0.5664","0.0125",
"0500000US22073","Ouachita Parish, Louisiana","0.5059","0.0277",
"0500000US22079","Rapides Parish, Louisiana","0.4929","0.0302",
"0500000US22097","St. Landry Parish, Louisiana","0.5356","0.0411",
"0500000US22103","St. Tammany Parish, Louisiana","0.4973","0.0267",
"0500000US22105","Tangipahoa Parish, Louisiana","0.4855","0.0611",
"0500000US22109","Terrebonne Parish, Louisiana","0.4775","0.0478",
"0500000US23001","Androscoggin County, Maine","0.4435","0.0380",
"0500000US23003","Aroostook County, Maine","0.4412","0.0323",
"0500000US23005","Cumberland County, Maine","0.4863","0.0204",
"0500000US23011","Kennebec County, Maine","0.4102","0.0167",
"0500000US23019","Penobscot County, Maine","0.4564","0.0265",
"0500000US23031","York County, Maine","0.4371","0.0252",
"0500000US24001","Allegany County, Maryland","0.4593","0.0347",
"0500000US24003","Anne Arundel County, Maryland","0.4264","0.0127",
"0500000US24005","Baltimore County, Maryland","0.4581","0.0112",
"0500000US24009","Calvert County, Maryland","0.3841","0.0280",
"0500000US24013","Carroll County, Maryland","0.4084","0.0260",
"0500000US24015","Cecil County, Maryland","0.4090","0.0274",
"0500000US24017","Charles County, Maryland","0.3828","0.0214",
"0500000US24021","Frederick County, Maryland","0.4095","0.0172",
"0500000US24025","Harford County, Maryland","0.4141","0.0159",
"0500000US24027","Howard County, Maryland","0.4256","0.0318",
"0500000US24031","Montgomery County, Maryland","0.4826","0.0116",
"0500000US24033","Prince George's County, Maryland","0.4178","0.0118",
"0500000US24037","St. Mary's County, Maryland","0.3972","0.0279",
"0500000US24043","Washington County, Maryland","0.4669","0.0307",
"0500000US24045","Wicomico County, Maryland","0.4473","0.0438",
"0500000US24510","Baltimore city, Maryland","0.5129","0.0146",
"0500000US25001","Barnstable County, Massachusetts","0.4661","0.0179",
"0500000US25003","Berkshire County, Massachusetts","0.5204","0.0335",
"0500000US25005","Bristol County, Massachusetts","0.4571","0.0140",
"0500000US25009","Essex County, Massachusetts","0.4729","0.0097",
"0500000US25011","Franklin County, Massachusetts","0.4190","0.0228",
"0500000US25013","Hampden County, Massachusetts","0.4769","0.0148",
"0500000US25015","Hampshire County, Massachusetts","0.4612","0.0248",
"0500000US25017","Middlesex County, Massachusetts","0.4752","0.0070",
"0500000US25021","Norfolk County, Massachusetts","0.4948","0.0121",
"0500000US25023","Plymouth County, Massachusetts","0.4676","0.0140",
"0500000US25025","Suffolk County, Massachusetts","0.5293","0.0113",
"0500000US25027","Worcester County, Massachusetts","0.4494","0.0113",
"0500000US26005","Allegan County, Michigan","0.4138","0.0338",
"0500000US26017","Bay County, Michigan","0.4427","0.0488",
"0500000US26021","Berrien County, Michigan","0.5118","0.0285",
"0500000US26025","Calhoun County, Michigan","0.4580","0.0266",
"0500000US26037","Clinton County, Michigan","0.4129","0.0308",
"0500000US26045","Eaton County, Michigan","0.4096","0.0223",
"0500000US26049","Genesee County, Michigan","0.4593","0.0179",
"0500000US26055","Grand Traverse County, Michigan","0.4293","0.0379",
"0500000US26065","Ingham County, Michigan","0.4834","0.0250",
"0500000US26067","Ionia County, Michigan","0.3751","0.0202",
"0500000US26075","Jackson County, Michigan","0.4493","0.0251",
"0500000US26077","Kalamazoo County, Michigan","0.4470","0.0144",
"0500000US26081","Kent County, Michigan","0.4434","0.0155",
"0500000US26087","Lapeer County, Michigan","0.4092","0.0284",
"0500000US26091","Lenawee County, Michigan","0.4316","0.0292",
"0500000US26093","Livingston County, Michigan","0.4102","0.0253",
"0500000US26099","Macomb County, Michigan","0.4327","0.0107",
"0500000US26103","Marquette County, Michigan","0.4228","0.0282",
"0500000US26111","Midland County, Michigan","0.4600","0.0254",
"0500000US26115","Monroe County, Michigan","0.4173","0.0258",
"0500000US26117","Montcalm County, Michigan","0.3909","0.0230",
"0500000US26121","Muskegon County, Michigan","0.4212","0.0211",
"0500000US26125","Oakland County, Michigan","0.4660","0.0082",
"0500000US26139","Ottawa County, Michigan","0.4408","0.0288",
"0500000US26145","Saginaw County, Michigan","0.4638","0.0166",
"0500000US26147","St. Clair County, Michigan","0.4114","0.0205",
"0500000US26155","Shiawassee County, Michigan","0.3969","0.0194",
"0500000US26159","Van Buren County, Michigan","0.4219","0.0201",
"0500000US26161","Washtenaw County, Michigan","0.4892","0.0143",
"0500000US26163","Wayne County, Michigan","0.4942","0.0089",
"0500000US27003","Anoka County, Minnesota","0.3919","0.0138",
"0500000US27013","Blue Earth County, Minnesota","0.4197","0.0262",
"0500000US27019","Carver County, Minnesota","0.4162","0.0209",
"0500000US27027","Clay County, Minnesota","0.4482","0.0362",
"0500000US27035","Crow Wing County, Minnesota","0.4403","0.0275",
"0500000US27037","Dakota County, Minnesota","0.4072","0.0132",
"0500000US27053","Hennepin County, Minnesota","0.4765","0.0093",
"0500000US27109","Olmsted County, Minnesota","0.4914","0.0227",
"0500000US27123","Ramsey County, Minnesota","0.4583","0.0125",
"0500000US27131","Rice County, Minnesota","0.4456","0.0320",
"0500000US27137","St. Louis County, Minnesota","0.4575","0.0209",
"0500000US27139","Scott County, Minnesota","0.4094","0.0238",
"0500000US27141","Sherburne County, Minnesota","0.3995","0.0349",
"0500000US27145","Stearns County, Minnesota","0.4346","0.0249",
"0500000US27163","Washington County, Minnesota","0.4249","0.0188",
"0500000US27171","Wright County, Minnesota","0.3584","0.0200",
"0500000US28033","DeSoto County, Mississippi","0.4243","0.0255",
"0500000US28035","Forrest County, Mississippi","0.5576","0.0613",
