GeoFIPS,GeoName,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
5125,"Saline, AR",3901725,4131223,4204223,4408861,4537477,4765955,4886150,5097509,5307282,5841647,6480149,6534237,6990268,
5127,"Scott, AR",249264,271868,281978,295366,298083,293876,313125,321052,312977,332206,390538,404058,397137,
5129,"Searcy, AR",205912,205380,203695,213495,210337,207378,214587,216048,223482,248671,280398,263942,277641,
5131,"Sebastian, AR",4542742,4665847,4649512,4852640,4986418,5013243,5118234,5208676,5465186,5773469,6239912,6139943,6374991,
5133,"Sevier, AR",408108,450151,473489,520996,514358,515027,536340,552200,533594,559616,664354,714930,682125,
5135,"Sharp, AR",463672,476135,482828,525051,532030,537467,557361,584637,599222,641849,737604,781018,780716,
5137,"Stone, AR",318169,327679,327611,357739,361156,358502,368782,380590,385778,421829,480307,465368,481624,
5139,"Union, AR",1681756,1828286,1736102,1762856,1650664,1563821,1676468,1694701,1764962,1965571,2004827,1983999,2080237,
5141,"Van Buren, AR",474746,470326,469628,497936,497131,485446,486182,502588,518948,567746,622660,629565,658127,
5143,"Washington, AR",6301208,6826248,7160755,7715793,8249870,8584426,9065983,9380610,9821318,11082918,12533342,12689180,13465487,
5145,"White, AR",2386867,2476812,2466276,2540496,2579410,2628558,2709425,2801442,2847929,3123734,3389889,3409791,3606315,
5147,"Woodruff, AR",215321,234576,265881,245606,226798,228420,241805,237532,243118,284797,310826,309983,348897,
5149,"Yell, AR",570918,582235,623483,672686,668749,666081,699352,721667,714220,736336,860742,913787,895693,
6001,"Alameda, CA",77301332,81435436,85777177,92038123,101231136,108327158,115789437,124671796,134683858,148199107,162177784,163748943,171119975,
6003,"Alpine, CA",59552,63498,63059,68364,71467,77273,80393,85025,93899,89328,89807,81025,88360,
6005,"Amador, CA",1309908,1325416,1336888,1399961,1481210,1519574,1602167,1660611,1759900,1920057,2063918,2000871,2116519,
6007,"Butte, CA",7394936,7606689,7807319,8138129,8782120,9126674,9423550,9718118,9925301,10793250,11566169,11255350,11828606,
6009,"Calaveras, CA",1689688,1668101,1673573,1759276,1897268,1967729,2060809,2126248,2265563,2454936,2624840,2611368,2749333,
6011,"Colusa, CA",860642,782405,842509,741237,838573,891925,896350,986398,971525,1232273,1306611,1264194,1354203,
6013,"Contra Costa, CA",61049539,65948405,66250960,69479371,75811060,80449066,86335914,91160536,93567981,102439116,110305857,112103932,118755806,
6015,"Del Norte, CA",801110,804556,819593,852254,895103,929522,934261,967786,1011444,1145076,1232056,1202924,1246696,
6017,"El Dorado, CA",9102802,9446675,9741664,10253863,10805487,11479612,11874184,12509360,13204691,14155885,15400735,15443750,16328505,
6019,"Fresno, CA",30713635,31502991,32824378,35044607,37251040,38323050,39208890,40504743,42845932,48784407,52726887,51990282,54448091,
6021,"Glenn, CA",960396,977473,1060368,1022151,1090813,1129760,1143898,1206997,1249518,1435156,1505763,1477598,1552265,
6023,"Humboldt, CA",4860509,4880568,4954797,5177816,5515128,5709430,5894662,6029582,6266157,6835069,7297188,7272378,7526646,
6025,"Imperial, CA",5484146,5541036,5743731,5990271,6439648,6323414,6428926,6353010,6768896,8348474,8705994,8345166,8712870,
6027,"Inyo, CA",807016,840983,854034,907544,947306,1011375,1041240,1024203,1089054,1135777,1158004,1124081,1257334,
6029,"Kern, CA",27307412,28877595,29679549,31577551,32173940,32048150,32666174,33813117,35612628,40423694,42880516,41543441,43497072,
